%time,field.header.seq,field.header.stamp,field.header.frame_id,field.voltage,field.temperature,field.current,field.charge,field.capacity,field.design_capacity,field.percentage,field.power_supply_status,field.power_supply_health,field.power_supply_technology,field.present,field.cell_voltage0,field.location,field.serial_number
1758482367438385200,4748,1758482367438175200,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9300000071525574,2,0,0,1,12.600000381469727,id0,
1758482367691733200,4749,1758482367691511000,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9300000071525574,2,0,0,1,12.600000381469727,id0,
1758482367940697000,4750,1758482367940452200,,12.600000381469727,0.0,-28.139999389648438,nan,nan,nan,0.9300000071525574,2,0,0,1,12.600000381469727,id0,
1758482368191483800,4751,1758482368191290100,,12.600000381469727,0.0,-28.139999389648438,nan,nan,nan,0.9300000071525574,2,0,0,1,12.600000381469727,id0,
1758482368441744400,4752,1758482368441504800,,12.600000381469727,0.0,-28.139999389648438,nan,nan,nan,0.9199999570846558,2,0,0,1,12.600000381469727,id0,
1758482368693475600,4753,1758482368693253200,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9199999570846558,2,0,0,1,12.600000381469727,id0,
1758482368937735200,4754,1758482368937516200,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9199999570846558,2,0,0,1,12.600000381469727,id0,
1758482369191306700,4755,1758482369191128100,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9199999570846558,2,0,0,1,12.600000381469727,id0,
1758482369440381500,4756,1758482369440162000,,12.600000381469727,0.0,-28.399999618530273,nan,nan,nan,0.9199999570846558,2,0,0,1,12.600000381469727,id0,
1758482369690284300,4757,1758482369690110500,,12.600000381469727,0.0,-28.329999923706055,nan,nan,nan,0.9199999570846558,2,0,0,1,12.600000381469727,id0,
1758482369941816800,4758,1758482369941622200,,12.600000381469727,0.0,-28.09000015258789,nan,nan,nan,0.9199999570846558,2,0,0,1,12.600000381469727,id0,
1758482370192777300,4759,1758482370192577400,,12.600000381469727,0.0,-28.059999465942383,nan,nan,nan,0.9199999570846558,2,0,0,1,12.600000381469727,id0,
1758482370443217300,4760,1758482370443042900,,12.600000381469727,0.0,-28.139999389648438,nan,nan,nan,0.9199999570846558,2,0,0,1,12.600000381469727,id0,
1758482370694862100,4761,1758482370694647000,,12.600000381469727,0.0,-28.10999870300293,nan,nan,nan,0.9199999570846558,2,0,0,1,12.600000381469727,id0,
